SHA_PASS,actual_bpb,category,compressed_bytes,compression_ms,decompression_ms,oracle_strategy,original_bytes,profile,reason,size_bucket,source,source_id,status,strategies_measured
,,archive,,,,,,smallest,exhaustive oracle bounded to files <=10 MiB,gt_10MiB,C:\Users\ss\Desktop\XAI\XAI\apps\public_nextjs\.next\cache\webpack\client-development\1.pack.gz,c00053085b900f5df548,N/A,0
,,archive,,,,,,fastest,exhaustive oracle bounded to files <=10 MiB,gt_10MiB,C:\Users\ss\Desktop\XAI\XAI\apps\public_nextjs\.next\cache\webpack\client-development\1.pack.gz,c00053085b900f5df548,N/A,0
,,archive,,,,,,balanced,exhaustive oracle bounded to files <=10 MiB,gt_10MiB,C:\Users\ss\Desktop\XAI\XAI\apps\public_nextjs\.next\cache\webpack\client-development\1.pack.gz,c00053085b900f5df548,N/A,0
True,12.0,binary,153,4.443999991053715,14.240999997127801,brotli|6|identity,102,smallest,,lt_16KiB,C:\Users\ss\Desktop\XAI\XAI\apps\public_nextjs\.next\cache\.rscinfo,40edde3ff58386c6e648,PASS,27
True,12.862745098039216,binary,164,4.7423000214621425,5.154700018465519,raw|default|identity,102,fastest,,lt_16KiB,C:\Users\ss\Desktop\XAI\XAI\apps\public_nextjs\.next\cache\.rscinfo,40edde3ff58386c6e648,PASS,27
True,12.0,binary,153,4.443999991053715,14.240999997127801,brotli|6|identity,102,balanced,,lt_16KiB,C:\Users\ss\Desktop\XAI\XAI\apps\public_nextjs\.next\cache\.rscinfo,40edde3ff58386c6e648,PASS,27
True,7.317829457364341,binary,236,6.093400006648153,20.795099990209565,brotli|6|identity,258,smallest,,lt_16KiB,C:\Users\ss\Desktop\XAI\XAI\apps\web_angular\Dockerfile,f6d8ac25d8ced35c97bb,PASS,27
True,7.9689922480620154,binary,257,3.9911000058054924,4.737499984912574,deflate|9|identity,258,fastest,,lt_16KiB,C:\Users\ss\Desktop\XAI\XAI\apps\web_angular\Dockerfile,f6d8ac25d8ced35c97bb,PASS,27
True,7.9689922480620154,binary,257,3.9911000058054924,4.737499984912574,deflate|9|identity,258,balanced,,lt_16KiB,C:\Users\ss\Desktop\XAI\XAI\apps\web_angular\Dockerfile,f6d8ac25d8ced35c97bb,PASS,27
True,3.944792973651192,binary,393,10.25870000012219,21.123699989402667,brotli|11|identity,797,smallest,,lt_16KiB,C:\Users\ss\Desktop\XAI\XAI\apps\mobile_authenticator_flutter\android\settings.gradle.kts,cc0a768c16bc4f521d5e,PASS,27
True,4.406524466750314,binary,439,5.894000001717359,5.994100007228553,deflate|6|identity,797,fastest,,lt_16KiB,C:\Users\ss\Desktop\XAI\XAI\apps\mobile_authenticator_flutter\android\settings.gradle.kts,cc0a768c16bc4f521d5e,PASS,27
True,4.406524466750314,binary,439,5.894000001717359,5.994100007228553,deflate|6|identity,797,balanced,,lt_16KiB,C:\Users\ss\Desktop\XAI\XAI\apps\mobile_authenticator_flutter\android\settings.gradle.kts,cc0a768c16bc4f521d5e,PASS,27
True,2.5832376578645238,binary,1125,13.223999994806945,12.751300004310906,brotli|11|identity,3484,smallest,,lt_16KiB,C:\Users\ss\Desktop\XAI\XAI\apps\admin_dotnet\Components\Pages\Home.razor,5cfd18ecb4615302b290,PASS,27
